start_station_name,start_station_id
W 42 St & 6 Ave,6517.08
3 Ave & 17 St,3779.02
W 104 St & Amsterdam Ave,7610.13
W 160 St & St Nicholas Ave,8138.07
3 Ave & E 100 St,7414.17
Broadway & W 131 St,7865.09
35 St & 21 Ave,7170.04
Freeman St & Southern Blvd,8060.01
Henry St & Bay St,3972.08
Amsterdam Ave & W 180 St,8353.02
Metropolitan Ave & 65 Ln,5160.01
47 St & 3 Ave,3243.02
Crotona Park North & Prospect Ave,8236.01
South Railroad Ave & Broadway,6090.03
Willoughby Ave & Tompkins Ave,4665.02
Jerome Ave & Anderson Ave,8061.01
59 St & 5 Ave,2961.05
Lincoln Rd & Ocean Ave,3633.08
Crescent St & Ditmars Blvd,7233.05
10 St & 7 Ave,3762.08
Central Ave & Flushing Ave,4947.04
University Ave & Morton Pl,8384.04
N 11 St & Kent Ave,5489.04
W 170 St & University Ave,8254.01
E 4 St & 2 Ave,5593.04
W 47 St & 6 Ave,6667.04
Broadway & W 56 St,6847.02
Little West St & 1 Pl,5001.08
36 St & 3 Ave,3460.02
Grand Concourse & E 144 St,7845.06
Greenwich St & W Houston St,5730.08
W 120 St & Claremont Ave,7745.07
Union Ave & N 12 St,5411.07
58 St & Pier 4,3220.01
Franklin St & W Broadway,5430.08
W 18 St & 6 Ave,6064.08
34 St & 4 Ave,3492.04
95 St & 35 Ave,6465.04
Washington St & Barrow St,5847.08
43 St & Broadway,6670.03
Frederick Douglass Blvd & W 112 St,7631.23
Bridge St & York St,4853.06
St Nicholas Ave & W 126 St,7756.1
E 88 St & 1 Ave,7235.13
E 80 St & 2 Ave,7121.02
E 74 St & 1 Ave,6953.08
St Nicholas Terrace & Convent Ave,7937.15
Adam Clayton Powell Blvd & W 118 St,7670.09
E 138 St & 5 Ave,7809.13
31 Ave & Steinway St,6782.01
W 10 St & Washington St,5847.06
W 148 St & Amsterdam Ave,8033.09
Broadway & W 185 St,8416.07
Dock St & Front St,4903.09
Ocean Pkwy & Church Ave,3125.09
Brook Ave & E 157 St,7935.07
Church Ave & McDonald Ave,3090.06
Nagle Ave & Thayer St,8563.06
Willoughby St & Fleet St,4628.05
E 76 St & Park Ave,7128.08
Prospect Park W & 20 St,3507.04
River Ter & Warren St,5368.03
Ave D & E 3 St,5436.09
Sands St Gate,4812.04
Herkimer St & New York Ave,4172.04
Cambridge Pl & Gates Ave,4377.04
104 St & 32 Ave,6692.03
69 St & 43 Ave,6108.03
Greenpoint Ave & Manhattan Ave,5785.05
Knickerbocker Ave & Thames St,5018.06
Willoughby Ave & Wyckoff Ave,5010.02
32 Ave & 77 St,6603.06
Westchester Ave & Southern Blvd,8004.03
Bayard St & Baxter St,5351.03
Taylor St & Bedford Ave,4982.02
Richards St & Delavan St,4202.04
Bank St & Hudson St,5922.08
E 19 St & Beverley Rd,3148.09
Willis Ave & Bruckner Blvd,7691.05
Chauncey St & Malcolm X Blvd,4228.06
Laight St & Hudson St,5539.06
